ammonia,arsenic,cadmium,copper,viruses,lead,nitrates,mercury,selenium,uranium,class
0.54,1.01,0.124,1.99,0.23,0.056,17.7,0.008,0.08,0.02,1
26.94,1.02,0.129,1.25,0.13,0.103,19.33,0.004,0.03,0.01,1
29.02,1.01,0.122,1.64,0.998,0.135,18.56,0.0,0.08,0.03,1
6.0,1.01,0.125,0.01,0.999,0.102,15.99,0.007,0.0,0.07,1
28.8,0.99,0.129,1.2,0.36,0.113,12.88,0.0,0.07,0.01,1
25.53,1.029,0.124,0.68,0.4,0.128,12.25,0.01,0.04,0.09,1
10.63,1.0,0.128,1.32,0.26,0.074,18.25,0.003,0.09,0.01,1
2.06,1.01,0.129,0.68,0.992,0.078,4.09,0.001,0.06,0.04,1
24.25,1.0,0.127,1.96,0.991,0.184,17.26,0.008,0.05,0.01,1
27.11,1.02,0.123,0.23,0.25,0.102,19.01,0.001,0.06,0.04,1
24.81,0.99,0.128,0.07,0.37,0.076,15.93,0.003,0.05,0.07,1
26.62,1.0,0.128,1.8,0.993,0.068,15.59,0.006,0.04,0.05,1
9.44,0.99,0.129,1.6,0.35,0.06,16.78,0.005,0.02,0.05,1
12.14,1.0,0.122,0.26,0.992,0.109,19.34,0.002,0.08,0.04,1
22.75,1.0,0.123,0.71,0.999,0.048,6.47,0.005,0.02,0.0,1
9.16,1.01,0.125,0.92,0.13,0.094,10.03,0.002,0.08,0.02,1
22.16,1.01,0.122,1.8,0.39,0.067,12.31,0.01,0.07,0.07,1
18.34,1.02,0.129,1.08,0.998,0.19,1.21,0.008,0.09,0.05,1
9.53,1.01,0.128,0.95,0.999,0.041,12.31,0.006,0.08,0.06,1
6.05,1.01,0.129,1.14,0.03,0.114,18.24,0.008,0.06,0.08,1
6.54,0.99,0.127,1.39,0.14,0.068,11.79,0.01,0.07,0.08,1
26.23,0.99,0.129,1.6,0.37,0.078,12.3,0.001,0.03,0.08,1
17.9,1.0,0.123,0.5,0.993,0.034,3.61,0.007,0.03,0.02,1
4.56,1.02,0.127,1.6,0.39,0.16,1.27,0.0,0.07,0.07,1
29.51,1.0,0.128,1.82,0.22,0.026,12.67,0.005,0.03,0.03,1
11.16,1.0,0.123,0.2,0.995,0.025,1.91,0.008,0.05,0.01,1
12.85,1.029,0.125,1.88,0.07,0.058,19.27,0.001,0.05,0.05,1
28.54,0.99,0.124,1.51,0.3,0.119,10.52,0.006,0.03,0.02,1
24.53,1.0,0.125,0.23,0.994,0.074,19.36,0.005,0.03,0.04,1
5.53,1.02,0.125,1.54,0.08,0.175,13.86,0.002,0.04,0.03,1
28.2,1.0,0.125,1.51,0.25,0.136,14.33,0.001,0.01,0.03,1
29.74,1.02,0.124,1.42,0.47,0.017,15.51,0.003,0.03,0.04,1
15.25,1.01,0.125,0.06,0.31,0.006,4.44,0.006,0.04,0.08,1
5.77,1.0,0.124,0.24,0.998,0.152,8.41,0.006,0.03,0.08,1
0.87,0.99,0.122,1.23,0.999,0.141,6.39,0.005,0.09,0.06,1
14.83,1.02,0.128,0.92,0.26,0.133,15.24,0.01,0.06,0.07,1
24.66,1.029,0.124,1.82,0.992,0.119,8.92,0.003,0.07,0.06,1
11.22,1.02,0.122,0.96,0.17,0.049,2.24,0.004,0.03,0.04,1
29.26,0.99,0.124,0.06,0.999,0.086,9.8,0.003,0.06,0.0,1
22.3,1.029,0.129,0.78,0.999,0.049,18.09,0.01,0.0,0.07,1
7.28,0.99,0.129,1.58,0.15,0.121,19.55,0.005,0.05,0.08,1
18.64,1.02,0.129,0.71,0.35,0.079,2.12,0.001,0.06,0.01,1
29.7,1.0,0.122,0.89,0.27,0.022,7.67,0.002,0.04,0.02,1
10.03,0.99,0.126,0.08,0.993,0.008,6.46,0.003,0.05,0.03,1
4.23,0.98,0.122,0.9,0.995,0.008,1.83,0.001,0.04,0.04,1
9.4,1.029,0.124,0.07,0.994,0.005,5.97,0.009,0.01,0.01,1
9.36,1.02,0.123,1.05,0.992,0.019,10.07,0.004,0.04,0.07,1
3.58,1.01,0.125,1.24,0.993,0.015,6.03,0.007,0.05,0.02,1
2.59,1.0,0.124,0.29,0.991,0.024,3.65,0.004,0.09,0.08,1
8.01,1.0,0.122,0.32,0.22,0.037,14.43,0.008,0.07,0.01,1
3.04,0.99,0.123,0.14,0.45,0.187,18.02,0.002,0.07,0.04,1
7.09,1.02,0.121,0.74,0.25,0.189,16.0,0.0,0.08,0.03,1
20.15,0.99,0.126,0.97,0.997,0.037,13.76,0.007,0.08,0.08,1
26.34,0.99,0.125,0.17,0.997,0.071,12.47,0.003,0.03,0.01,1
29.65,1.02,0.127,0.56,0.992,0.002,11.71,0.008,0.02,0.09,1
19.08,0.99,0.129,0.55,0.998,0.023,4.41,0.006,0.09,0.06,1
28.46,1.01,0.127,0.2,0.12,0.112,2.85,0.004,0.06,0.04,1
26.69,1.02,0.128,0.33,0.46,0.059,14.82,0.004,0.06,0.06,1
22.69,0.99,0.122,0.13,0.999,0.167,17.0,0.009,0.02,0.04,1
20.76,1.01,0.123,1.17,0.997,0.076,18.09,0.007,0.04,0.06,1
5.91,0.98,0.122,0.44,1.0,0.097,17.7,0.002,0.07,0.09,1
19.7,1.02,0.121,0.92,0.09,0.065,14.41,0.004,0.07,0.03,1
12.81,1.02,0.125,1.21,0.38,0.094,12.82,0.009,0.08,0.02,1
7.87,1.0,0.129,0.8,0.09,0.173,0.8,0.008,0.06,0.01,1
23.72,0.99,0.125,0.36,0.995,0.023,5.15,0.005,0.05,0.05,1
1.42,0.98,0.125,1.03,0.992,0.011,17.33,0.002,0.03,0.01,1
12.22,1.0,0.126,1.41,0.999,0.032,12.68,0.002,0.06,0.01,1
13.16,1.0,0.129,1.73,0.33,0.133,0.92,0.009,0.06,0.02,1
10.86,1.01,0.121,1.33,0.993,0.095,0.91,0.01,0.02,0.07,1
3.62,1.0,0.122,1.38,0.999,0.164,1.98,0.009,0.08,0.09,1
15.57,1.029,0.125,1.85,0.5,0.006,15.23,0.01,0.05,0.07,1
9.02,1.029,0.123,0.45,0.11,0.159,17.47,0.002,0.09,0.07,1
22.08,0.99,0.123,1.0,0.995,0.108,19.39,0.002,0.01,0.05,1
28.33,0.99,0.128,0.37,0.32,0.049,7.45,0.001,0.0,0.06,1
16.55,0.99,0.123,0.26,0.997,0.095,16.66,0.001,0.09,0.02,1
15.93,1.02,0.127,1.27,0.16,0.119,8.61,0.006,0.02,0.02,1
18.47,1.01,0.127,1.26,1.0,0.019,7.07,0.005,0.07,0.09,1
12.19,1.0,0.124,1.28,0.01,0.113,17.26,0.007,0.02,0.06,1
6.9,1.02,0.125,1.57,0.996,0.05,8.86,0.004,0.08,0.05,1
24.91,1.029,0.129,0.72,0.998,0.035,15.76,0.005,0.08,0.03,1
10.44,0.99,0.129,0.62,0.999,0.035,6.56,0.001,0.09,0.08,1
0.57,0.99,0.128,0.46,0.32,0.064,11.55,0.002,0.06,0.07,1
17.31,1.0,0.129,0.24,1.0,0.048,6.29,0.002,0.06,0.0,1
29.24,1.0,0.129,1.55,0.995,0.097,18.24,0.009,0.07,0.01,1
4.38,1.02,0.127,1.98,0.996,0.03,1.67,0.007,0.04,0.02,1
21.66,0.99,0.125,0.51,0.2,0.079,17.88,0.009,0.02,0.02,1
15.29,1.02,0.124,1.18,0.995,0.002,12.08,0.0,0.04,0.05,1
20.3,1.029,0.124,1.45,0.999,0.069,0.96,0.003,0.02,0.03,1
15.1,1.01,0.129,0.72,0.1,0.176,5.94,0.002,0.04,0.07,1
5.79,0.99,0.125,0.11,0.02,0.198,12.39,0.009,0.07,0.05,1
14.47,1.01,0.129,0.24,0.998,0.17,12.28,0.005,0.03,0.01,1
2.4,1.01,0.125,1.35,0.16,0.012,2.96,0.009,0.06,0.07,1
21.4,1.0,0.129,0.95,0.997,0.003,1.02,0.002,0.05,0.08,1
6.56,1.0,0.128,0.6,1.0,0.159,7.57,0.002,0.07,0.03,1
22.31,1.01,0.121,0.97,0.29,0.195,18.84,0.004,0.01,0.09,1
23.37,1.01,0.129,1.01,0.998,0.052,2.16,0.008,0.04,0.08,1
22.49,1.01,0.125,1.72,0.46,0.003,18.36,0.003,0.05,0.04,1
28.87,1.02,0.123,1.09,0.11,0.148,14.03,0.007,0.07,0.01,1
9.79,1.01,0.128,0.31,0.37,0.094,1.68,0.0,0.06,0.04,1
13.54,1.02,0.127,1.54,0.999,0.128,6.56,0.005,0.01,0.01,1
10.95,1.01,0.129,1.49,0.994,0.128,18.17,0.0,0.04,0.03,1
18.25,1.02,0.129,1.17,0.995,0.049,4.57,0.004,0.03,0.08,1
29.08,1.029,0.124,0.7,0.45,0.1,16.42,0.003,0.08,0.05,1
2.15,0.99,0.121,1.71,0.46,0.152,14.98,0.01,0.08,0.04,1
7.8,1.02,0.128,1.99,0.992,0.079,14.36,0.007,0.06,0.09,1
14.36,1.0,0.129,1.2,0.36,0.104,6.69,0.001,0.04,0.05,1
7.85,1.01,0.126,0.53,0.17,0.174,19.1,0.001,0.0,0.0,1
10.82,1.0,0.123,1.94,0.11,0.11,2.53,0.006,0.09,0.0,1
26.33,0.99,0.128,0.23,0.03,0.082,17.59,0.008,0.07,0.09,1
0.94,0.99,0.124,1.54,0.992,0.092,14.4,0.007,0.08,0.01,1
23.54,0.99,0.125,0.94,0.44,0.085,3.77,0.007,0.09,0.03,1
22.03,1.01,0.122,0.53,0.26,0.07,2.98,0.004,0.04,0.06,1
25.55,0.98,0.124,0.42,0.03,0.03,8.16,0.004,0.04,0.01,1
3.35,1.0,0.128,0.6,0.26,0.055,4.64,0.007,0.02,0.03,1
20.43,1.0,0.124,1.42,1.0,0.082,10.56,0.005,0.06,0.03,1
11.1,1.02,0.128,0.42,1.0,0.143,12.15,0.004,0.03,0.02,1
23.51,1.02,0.126,1.14,1.0,0.154,15.49,0.002,0.08,0.09,1
21.16,1.0,0.121,0.34,1.0,0.087,19.4,0.006,0.03,0.08,1
24.38,0.99,0.124,0.46,1.0,0.055,12.75,0.007,0.08,0.02,1
24.0,1.0,0.129,1.42,1.0,0.194,10.18,0.007,0.08,0.06,1
29.3,1.02,0.123,1.92,1.0,0.04,4.99,0.003,0.03,0.05,1
18.44,1.0,0.125,0.34,1.0,0.17,13.03,0.002,0.02,0.02,1
20.15,0.99,0.129,1.27,1.0,0.111,1.85,0.004,0.06,0.03,1
26.33,1.02,0.121,0.8,1.0,0.109,6.1,0.009,0.06,0.0,1
28.03,1.02,0.123,0.22,1.0,0.165,18.84,0.001,0.1,0.07,1
17.29,0.99,0.125,0.59,1.0,0.013,18.69,0.0,0.02,0.09,1
17.73,0.99,0.128,1.37,1.0,0.015,12.58,0.005,0.02,0.09,1
28.0,1.0,0.128,1.22,1.0,0.01,10.01,0.007,0.05,0.03,1
27.43,0.99,0.121,1.52,1.0,0.031,1.87,0.0,0.01,0.06,1
25.72,1.029,0.121,0.11,1.0,0.03,6.26,0.004,0.08,0.03,1
14.6,1.01,0.123,1.46,1.0,0.153,0.96,0.003,0.04,0.07,1
20.43,1.0,0.128,0.97,1.0,0.068,11.29,0.004,0.08,0.07,1
19.22,0.99,0.127,0.16,1.0,0.165,14.73,0.008,0.1,0.03,1
1.41,0.99,0.122,1.6,1.0,0.187,18.28,0.007,0.09,0.07,1
1.97,1.01,0.124,1.99,1.0,0.165,10.93,0.009,0.03,0.04,1
14.4,0.99,0.126,0.1,1.0,0.035,11.74,0.007,0.01,0.09,1
-0.03,0.99,0.127,0.54,1.0,0.117,15.69,0.001,0.03,0.03,1
17.56,0.99,0.124,1.01,1.0,0.124,4.17,0.006,0.04,0.07,1
28.23,1.02,0.128,0.87,1.0,0.193,13.97,0.004,0.09,0.01,1
9.9,1.0,0.122,0.09,1.0,0.182,19.31,0.001,0.07,0.05,1
24.73,1.02,0.122,1.33,1.0,0.166,15.22,0.002,0.03,0.02,1
19.29,0.99,0.129,0.41,1.0,0.184,14.82,0.009,0.06,0.08,1
6.51,1.0,0.122,0.41,1.0,0.017,11.55,0.004,0.04,0.02,1
20.67,1.0,0.129,1.73,1.0,0.093,5.43,0.008,0.02,0.05,1
23.32,1.0,0.124,1.77,1.0,0.009,18.47,0.005,0.01,0.07,1
17.79,1.01,0.128,1.11,1.0,0.111,12.29,0.01,0.04,0.04,1
19.35,0.98,0.128,1.93,1.0,0.043,8.93,0.004,0.07,0.05,1
18.13,1.02,0.121,1.6,1.0,0.138,15.3,0.001,0.04,0.0,1
9.98,1.0,0.128,0.95,1.0,0.148,10.3,0.008,0.09,0.05,1
17.39,1.0,0.129,0.73,1.0,0.185,6.65,0.003,0.09,0.02,1
0.79,1.01,0.122,1.28,1.0,0.17,12.78,0.001,0.09,0.0,1
10.86,0.99,0.127,0.74,1.0,0.0,3.67,0.005,0.04,0.04,1
18.47,1.01,0.123,1.9,1.0,0.167,12.33,0.003,0.01,0.07,1
23.55,1.029,0.129,1.97,1.0,0.035,3.68,0.007,0.09,0.09,1
11.71,0.99,0.122,0.05,1.0,0.105,5.24,0.008,0.01,0.06,1
0.58,0.98,0.125,0.08,1.0,0.191,10.08,0.008,0.05,0.0,1
14.86,0.99,0.129,0.52,1.0,0.074,8.55,0.003,0.08,0.03,1
24.88,1.02,0.126,0.51,1.0,0.004,13.03,0.007,0.09,0.01,1
19.86,1.02,0.122,0.24,1.0,0.104,13.44,0.008,0.0,0.08,1
3.77,1.02,0.126,1.34,1.0,0.04,16.61,0.002,0.08,0.03,1
27.72,1.0,0.122,1.49,1.0,0.159,6.19,0.005,0.08,0.02,1
14.19,0.99,0.122,0.03,1.0,0.078,16.51,0.002,0.04,0.05,1
3.13,1.01,0.125,0.43,1.0,0.182,12.27,0.009,0.02,0.04,1
5.95,1.02,0.127,1.79,1.0,0.103,11.64,0.003,0.05,0.08,1
22.54,0.99,0.128,0.07,1.0,0.16,13.54,0.003,0.06,0.03,1
6.13,0.99,0.124,0.5,1.0,0.048,11.9,0.005,0.03,0.07,1
10.89,0.99,0.127,1.33,1.0,0.192,9.2,0.002,0.02,0.07,1
20.88,0.99,0.129,1.9,1.0,0.099,4.66,0.003,0.09,0.05,1
17.74,0.98,0.126,0.02,1.0,0.166,16.41,0.004,0.08,0.0,1
27.12,0.99,0.126,1.72,1.0,0.152,19.37,0.002,0.02,0.06,1
29.06,1.01,0.124,0.5,1.0,0.016,9.49,0.003,0.06,0.01,1
7.2,1.01,0.125,1.23,1.0,0.125,1.01,0.006,0.02,0.05,1
23.07,1.0,0.126,0.48,1.0,0.012,14.71,0.001,0.03,0.01,1
16.48,1.01,0.127,0.58,1.0,0.147,5.31,0.002,0.0,0.03,1
13.48,1.02,0.124,0.82,1.0,0.113,19.5,0.004,0.08,0.03,1
26.01,0.99,0.124,1.31,1.0,0.045,13.88,0.0,0.08,0.07,1
29.08,0.99,0.121,1.74,1.0,0.192,7.07,0.009,0.02,0.03,1
10.55,1.0,0.122,0.28,1.0,0.181,15.69,0.002,0.07,0.05,1
12.23,1.02,0.128,1.23,1.0,0.085,5.57,0.005,0.03,0.02,1
10.58,1.01,0.129,0.52,1.0,0.147,15.55,0.005,0.02,0.05,1
29.64,1.01,0.123,1.67,1.0,0.192,18.17,0.009,0.1,0.05,1
21.09,1.02,0.124,1.83,1.0,0.179,9.37,0.005,0.02,0.02,1
0.75,1.0,0.127,0.82,1.0,0.156,12.89,0.004,0.04,0.09,1
19.48,1.01,0.125,1.81,1.0,0.038,12.94,0.009,0.03,0.06,1
14.43,1.02,0.122,0.88,1.0,0.079,17.29,0.007,0.0,0.06,1
20.71,1.029,0.123,0.65,1.0,0.002,3.85,0.009,0.04,0.08,1
14.84,0.98,0.123,0.29,1.0,0.08,16.75,0.008,0.05,0.05,1
27.86,0.99,0.126,0.69,1.0,0.087,11.26,0.0,0.08,0.09,1
0.27,1.0,0.127,0.81,1.0,0.136,12.53,0.005,0.03,0.03,1
16.48,1.02,0.129,1.62,1.0,0.17,18.33,0.001,0.1,0.05,1
21.15,1.02,0.126,0.24,1.0,0.19,17.19,0.008,0.01,0.08,1
18.7,0.98,0.125,0.87,1.0,0.038,17.77,0.002,0.07,0.02,1
26.35,1.01,0.129,0.15,1.0,0.04,14.41,0.007,0.08,0.02,1
17.25,1.01,0.127,1.77,1.0,0.103,2.12,0.001,0.05,0.04,1
17.22,0.99,0.125,1.89,1.0,0.197,18.08,0.006,0.05,0.0,1
11.62,1.01,0.126,0.4,1.0,0.075,10.47,0.008,0.06,0.08,1
27.74,1.02,0.125,1.6,1.0,0.177,10.96,0.01,0.01,0.07,1
20.6,0.98,0.122,0.57,1.0,0.174,12.63,0.001,0.03,0.03,1
4.59,0.99,0.129,0.77,1.0,0.178,7.13,0.007,0.06,0.08,1
0.33,1.02,0.122,1.85,1.0,0.013,10.8,0.006,0.08,0.04,1
6.93,1.029,0.126,0.79,1.0,0.084,7.71,0.001,0.07,0.06,1
0.59,1.02,0.127,0.5,1.0,0.075,5.69,0.01,0.04,0.03,1
1.2,1.0,0.126,1.43,1.0,0.163,13.37,0.003,0.05,0.04,1
29.4,1.0,0.127,1.76,1.0,0.07,15.54,0.001,0.03,0.03,1
20.21,1.0,0.124,1.98,1.0,0.026,6.69,0.004,0.04,0.02,1
27.71,1.0,0.127,1.9,1.0,0.103,17.34,0.007,0.09,0.08,1
24.33,1.029,0.122,0.89,1.0,0.045,7.75,0.008,0.03,0.08,1
22.29,0.99,0.127,0.48,1.0,0.158,17.7,0.002,0.05,0.07,1
0.4,0.98,0.128,1.1,1.0,0.141,9.85,0.004,0.04,0.01,1
29.34,1.029,0.123,0.79,1.0,0.179,18.35,0.008,0.1,0.07,1
19.71,0.98,0.122,1.61,1.0,0.042,18.86,0.001,0.09,0.02,1
15.7,0.98,0.129,1.56,1.0,0.156,3.15,0.002,0.08,0.0,1
22.72,0.99,0.126,1.16,1.0,0.126,12.48,0.008,0.03,0.04,1
5.87,1.01,0.127,0.65,1.0,0.133,5.84,0.01,0.05,0.09,1
9.42,1.02,0.127,0.32,1.0,0.036,8.88,0.005,0.01,0.03,1
22.78,1.0,0.123,0.05,1.0,0.017,15.92,0.005,0.04,0.01,1
21.61,1.01,0.122,1.31,1.0,0.097,5.98,0.0,0.04,0.09,1
20.34,0.99,0.126,0.15,1.0,0.128,16.98,0.001,0.0,0.03,1
0.46,0.99,0.121,1.66,1.0,0.124,19.22,0.007,0.06,0.04,1
4.31,1.02,0.129,0.58,1.0,0.186,8.77,0.004,0.04,0.03,1
6.3,1.0,0.125,0.03,1.0,0.079,8.91,0.008,0.02,0.08,1
10.05,1.029,0.129,0.15,1.0,0.111,15.33,0.006,0.07,0.05,1
24.32,1.01,0.122,1.33,1.0,0.031,12.78,0.009,0.04,0.07,1
27.72,0.98,0.122,1.72,1.0,0.025,2.59,0.007,0.09,0.07,1
13.34,1.02,0.123,0.54,1.0,0.034,11.62,0.003,0.02,0.07,1
5.56,1.02,0.127,0.12,1.0,0.072,15.68,0.008,0.09,0.02,1
0.63,1.01,0.126,0.05,1.0,0.125,19.32,0.005,0.02,0.08,1
23.06,1.02,0.121,0.37,1.0,0.058,17.65,0.004,0.1,0.09,1
23.55,1.0,0.126,1.53,1.0,0.163,16.09,0.009,0.01,0.04,1
12.12,1.02,0.123,2.0,1.0,0.186,3.32,0.0,0.03,0.07,1
15.04,1.02,0.121,1.24,1.0,0.025,7.15,0.005,0.03,0.02,1
23.65,1.01,0.129,0.36,1.0,0.108,19.14,0.0,0.1,0.06,1
28.76,1.029,0.125,0.05,1.0,0.026,4.04,0.0,0.05,0.02,1
3.51,1.02,0.126,0.19,1.0,0.182,19.41,0.002,0.07,0.08,1
19.11,1.02,0.122,0.78,1.0,0.058,18.84,0.008,0.08,0.05,1
12.95,0.98,0.128,0.95,1.0,0.087,19.53,0.0,0.02,0.06,1
10.44,1.029,0.127,1.62,1.0,0.024,0.97,0.002,0.04,0.07,1
14.6,1.01,0.126,0.54,1.0,0.003,4.63,0.009,0.05,0.03,1
1.88,1.01,0.123,0.76,1.0,0.018,17.57,0.001,0.09,0.02,1
13.08,1.01,0.129,0.57,1.0,0.082,14.3,0.009,0.06,0.02,1
11.06,1.02,0.129,0.68,1.0,0.04,8.01,0.008,0.05,0.05,1
27.55,1.029,0.129,0.31,1.0,0.039,17.11,0.001,0.06,0.08,1
1.2,1.0,0.122,1.2,1.0,0.15,10.11,0.005,0.01,0.08,1
29.37,1.029,0.122,1.47,1.0,0.124,8.26,0.0,0.03,0.04,1
19.87,1.029,0.122,1.63,1.0,0.128,16.78,0.008,0.08,0.07,1
8.65,0.99,0.125,1.17,1.0,0.116,13.88,0.009,0.04,0.08,1
20.28,1.0,0.127,1.84,1.0,0.163,2.56,0.005,0.08,0.03,1
16.1,0.99,0.124,1.12,1.0,0.103,12.41,0.006,0.07,0.01,1
25.87,1.01,0.124,1.71,1.0,0.046,3.47,0.008,0.06,0.09,1
1.48,1.0,0.125,0.96,1.0,0.039,7.51,0.002,0.04,0.05,1
27.29,0.99,0.128,1.19,1.0,0.181,4.35,0.003,0.01,0.06,1
9.17,1.01,0.125,1.89,1.0,0.024,15.99,0.004,0.09,0.01,1
29.68,1.0,0.125,0.2,1.0,0.112,10.35,0.001,0.07,0.07,1
21.68,1.02,0.125,1.58,1.0,0.185,5.1,0.006,0.07,0.05,1
12.18,1.02,0.121,1.93,1.0,0.091,2.6,0.0,0.01,0.06,1
24.84,1.02,0.124,1.8,1.0,0.009,1.08,0.003,0.1,0.07,1
27.93,1.02,0.122,0.23,1.0,0.147,19.28,0.004,0.09,0.04,1
27.41,1.01,0.126,1.97,1.0,0.176,10.27,0.003,0.07,0.01,1
25.16,1.0,0.125,1.5,1.0,0.132,6.24,0.01,0.02,0.06,1
7.54,0.99,0.124,0.74,1.0,0.154,8.39,0.003,0.0,0.02,1
20.52,1.01,0.121,0.67,1.0,0.186,12.12,0.004,0.09,0.07,1
18.89,1.02,0.124,1.27,1.0,0.189,11.44,0.003,0.08,0.01,1
19.08,1.029,0.123,1.12,1.0,0.17,11.51,0.004,0.01,0.06,1
5.4,1.02,0.122,0.57,1.0,0.054,17.49,0.002,0.03,0.02,1
15.26,0.98,0.126,1.74,1.0,0.15,11.91,0.007,0.07,0.05,1
23.25,1.01,0.126,0.42,1.0,0.013,10.88,0.009,0.04,0.02,1
8.02,0.99,0.123,0.35,1.0,0.133,14.2,0.009,0.07,0.09,1
19.86,0.99,0.126,0.48,1.0,0.129,2.05,0.007,0.06,0.07,1
1.84,1.0,0.123,1.31,1.0,0.195,11.59,0.005,0.02,0.09,1
11.1,1.01,0.129,1.45,1.0,0.002,7.79,0.003,0.07,0.03,1
24.39,1.01,0.128,1.71,1.0,0.026,10.64,0.004,0.06,0.0,1
11.24,1.0,0.129,1.44,1.0,0.15,7.94,0.007,0.02,0.03,1
5.65,0.98,0.124,0.47,1.0,0.036,12.84,0.004,0.05,0.03,1
29.24,0.98,0.122,1.31,1.0,0.061,18.66,0.004,0.06,0.02,1
29.09,1.02,0.126,0.95,1.0,0.104,1.35,0.003,0.07,0.01,1
25.95,1.0,0.126,1.19,1.0,0.163,15.35,0.007,0.01,0.09,1
19.66,1.0,0.129,1.1,1.0,0.139,19.39,0.003,0.04,0.06,1
17.5,1.01,0.126,0.27,1.0,0.026,2.88,0.004,0.05,0.02,1
5.15,1.02,0.126,0.08,1.0,0.006,19.14,0.006,0.09,0.0,1
17.14,1.01,0.123,1.62,1.0,0.069,7.44,0.009,0.08,0.04,1
23.25,0.99,0.128,1.96,1.0,0.168,15.38,0.003,0.03,0.09,1
3.1,0.98,0.124,0.24,1.0,0.038,15.07,0.001,0.05,0.04,1
21.73,1.01,0.127,0.03,1.0,0.016,11.84,0.007,0.09,0.02,1
28.87,0.98,0.125,1.15,1.0,0.141,13.02,0.007,0.07,0.06,1
23.18,1.01,0.129,1.7,1.0,0.168,8.82,0.006,0.03,0.07,1
7.73,0.98,0.127,1.84,1.0,0.174,14.91,0.003,0.03,0.09,1
18.66,1.0,0.122,1.46,1.0,0.172,1.04,0.004,0.09,0.0,1
15.31,1.02,0.124,0.55,1.0,0.126,3.45,0.002,0.01,0.09,1
27.46,1.0,0.129,1.0,1.0,0.169,7.46,0.001,0.01,0.06,1
27.16,1.02,0.123,1.54,1.0,0.107,6.39,0.006,0.03,0.06,1
26.04,0.98,0.125,0.82,1.0,0.072,10.77,0.0,0.08,0.03,1
14.99,1.0,0.121,2.0,1.0,0.034,19.42,0.0,0.01,0.08,1
26.43,1.02,0.122,1.9,1.0,0.035,14.24,0.008,0.05,0.03,1
19.11,1.0,0.123,1.18,1.0,0.177,16.8,0.003,0.07,0.03,1
14.05,1.01,0.129,1.33,1.0,0.077,16.48,0.01,0.07,0.08,1
25.86,1.02,0.121,0.85,1.0,0.055,14.72,0.008,0.05,0.06,1
19.85,0.98,0.129,0.24,1.0,0.095,16.92,0.002,0.01,0.02,1
6.86,1.01,0.124,0.24,1.0,0.146,9.25,0.003,0.01,0.05,1
18.65,1.01,0.129,0.31,1.0,0.075,17.45,0.007,0.05,0.07,1
0.96,0.99,0.128,0.2,1.0,0.103,5.01,0.006,0.02,0.02,1
28.64,1.02,0.129,1.76,1.0,0.098,4.73,0.003,0.07,0.06,1
18.38,0.98,0.129,0.79,1.0,0.192,5.51,0.006,0.08,0.0,1
1.39,0.99,0.124,0.67,1.0,0.092,10.75,0.006,0.03,0.08,1
11.13,1.029,0.128,1.07,1.0,0.189,19.34,0.006,0.1,0.02,1
17.5,1.01,0.124,0.37,1.0,0.034,19.74,0.007,0.1,0.04,1
19.9,1.02,0.127,0.85,1.0,0.113,3.97,0.004,0.0,0.02,1
17.59,0.99,0.124,0.83,1.0,0.023,4.96,0.009,0.03,0.02,1
26.21,1.0,0.124,1.04,1.0,0.158,8.4,0.001,0.01,0.05,1
6.77,1.02,0.123,0.18,1.0,0.183,5.94,0.009,0.1,0.03,1
22.59,0.99,0.129,0.22,1.0,0.139,17.89,0.0,0.09,0.07,1
18.13,1.0,0.128,0.65,1.0,0.049,10.34,0.001,0.02,0.08,1
12.45,1.01,0.123,0.36,1.0,0.125,5.95,0.008,0.1,0.07,1
25.29,0.98,0.124,0.31,1.0,0.142,11.66,0.009,0.1,0.0,1
5.78,1.02,0.122,0.86,1.0,0.086,19.02,0.005,0.05,0.03,1
2.96,1.02,0.125,0.38,1.0,0.062,14.1,0.01,0.09,0.03,1
11.6,1.029,0.129,0.15,1.0,0.153,5.88,0.008,0.05,0.09,1
20.11,1.0,0.129,0.63,1.0,0.088,8.29,0.009,0.1,0.03,1
1.27,1.029,0.128,0.53,1.0,0.003,6.23,0.005,0.01,0.06,1
2.76,1.02,0.124,0.03,1.0,0.169,10.24,0.009,0.01,0.01,1
4.28,1.029,0.128,1.29,1.0,0.018,4.39,0.004,0.02,0.04,1
5.54,0.86,0.09,1.43,1.0,0.083,12.39,0.007,0.08,0.07,1
16.13,0.87,0.11,0.86,1.0,0.129,0.47,0.006,0.06,0.07,1
29.73,0.5,0.01,0.29,1.0,0.097,3.6,0.004,0.03,0.09,1
19.49,0.91,0.04,1.48,1.0,0.09,15.82,0.01,0.09,0.07,1
8.03,0.66,0.01,1.24,1.0,0.151,2.73,0.004,0.03,0.09,1
10.8,0.23,0.01,1.15,1.0,0.155,16.96,0.005,0.09,0.08,1
7.58,0.75,0.11,1.76,1.0,0.03,3.54,0.004,0.08,0.07,1
20.08,0.78,0.08,1.99,1.0,0.052,8.92,0.003,0.04,0.07,1
14.91,0.66,0.11,1.19,1.0,0.195,2.83,0.008,0.06,0.06,1
6.36,0.29,0.05,0.67,1.0,0.158,7.59,0.009,0.03,0.07,1
1.05,0.89,0.12,1.87,1.0,0.112,3.06,0.01,0.05,0.07,1
19.4,0.86,0.0,0.28,0.37,0.029,16.92,0.005,0.08,0.07,1
